"date","new_cases"
"258","2020-09-16",13600
"259","2020-09-17",12639
"260","2020-09-18",5078
"261","2020-09-19",1674
"262","2020-09-20",15608
"263","2020-09-21",14223
"264","2020-09-22",12752
"265","2020-09-23",11635
"266","2020-09-24",11942
"267","2020-09-25",4773
"268","2020-09-26",1162
"269","2020-09-27",13197
"270","2020-09-28",12788
"271","2020-09-29",13103
"272","2020-09-30",14366
"273","2020-10-01",15241
"274","2020-10-02",7215
"275","2020-10-03",1376
"276","2020-10-04",21381
"277","2020-10-05",19663
"278","2020-10-06",20437
"279","2020-10-07",22538
"280","2020-10-08",23263
"281","2020-10-09",11071
"282","2020-10-10",3004
"283","2020-10-11",31710
"284","2020-10-12",28593
"285","2020-10-13",28592
"286","2020-10-14",32012
"287","2020-10-15",32716
"288","2020-10-16",15221
"289","2020-10-17",4343
"290","2020-10-18",45280
"291","2020-10-19",44356
"292","2020-10-20",46461
"293","2020-10-21",51083
"294","2020-10-22",54521
"295","2020-10-23",25093
"296","2020-10-24",7124
"297","2020-10-25",68553
"298","2020-10-26",61525
"299","2020-10-27",56662
"300","2020-10-28",56163
"301","2020-10-29",57506
"302","2020-10-30",26259
"303","2020-10-31",6351
"304","2020-11-01",69989
"305","2020-11-02",59106
"306","2020-11-03",49763
"307","2020-11-04",46864
"308","2020-11-05",44263
"309","2020-11-06",17913
"310","2020-11-07",4125
"311","2020-11-08",47592
"312","2020-11-09",37425
"313","2020-11-10",4797
"314","2020-11-11",36517
"315","2020-11-12",28019
"316","2020-11-13",10809
"317","2020-11-14",2537
"318","2020-11-15",30323
"319","2020-11-16",21710
"320","2020-11-17",17058
"321","2020-11-18",16817
"322","2020-11-19",15546
"323","2020-11-20",7235
"324","2020-11-21",1592
"325","2020-11-22",17732
"326","2020-11-23",13742
"327","2020-11-24",12334
"328","2020-11-25",12496
"329","2020-11-26",11779
"330","2020-11-27",6057
"331","2020-11-28",1484
"332","2020-11-29",15847
"333","2020-11-30",12287
"334","2020-12-01",11334
"335","2020-12-02",11959
"336","2020-12-03",12438
"337","2020-12-04",6548
"338","2020-12-05",1640
"339","2020-12-06",16663
"340","2020-12-07",13252
"341","2020-12-08",12436
"342","2020-12-09",13509
"343","2020-12-10",13629
"344","2020-12-11",7770
"345","2020-12-12",1918
"346","2020-12-13",19643
"347","2020-12-14",15940
"348","2020-12-15",14917
"349","2020-12-16",15821
"350","2020-12-17",17318
"351","2020-12-18",10452
"352","2020-12-19",3433
"353","2020-12-20",21044
"354","2020-12-21",18331
"355","2020-12-22",16670
"356","2020-12-23",12858
"357","2020-12-24",1209
"358","2020-12-25",9615
"359","2020-12-26",2033
"360","2020-12-27",21428
"361","2020-12-28",19533
"362","2020-12-29",18995
"363","2020-12-30",15452
"364","2020-12-31",1368
"365","2021-01-01",13186
